category,title,brand,price,original_price,discount_pct,rating,reviews,product_link,image,availability,source
ssd 1to,"Crucial BX500 SATA SSD 1To2.5 Interne, jusqu'à 540MB/s, Compatible avec Ordinateur Portable et de Bureau (PC), 3D NAND, Accélération Dynamique de l'Écriture - CT1000BX500SSD101",,67.99,,,4.7,138,https://www.amazon.fr/Crucial-BX500-pouces-interne-CT1000BX500SSD101/dp/B0CCN9NHTC/ref=sr_1_6?dib=eyJ2IjoiMSJ9.-oGw8Cxk_iQIyzCr4BAZ0Vc2-sJ1Js6lof-SHgMBrwsmbZyq_o_Gsf8sIRKSjX3-48JSlnDkKCWimfuktfXcq3SEuwSa5N5N8jKqi-DoHXREwkiBDy6MS_lJXoRNtDoGF5spSsZR_vUHphFZAkeFzpj7pzOOdT8VVtwWlqSP_43lVAn_Sosc2gYz1CLXkXlbaDEc_8mxqNus-dN5_jo_b6DznWK_esFbzaFMANXPpCQXyiuFgEFVx32VPhWHmuuY5oU5kMryNeYCilX5tqHOhpW-xvWPIe-4VkEKggo9WmU.KsKDkFjNfQ0uLANdTJeDeSaUnpmnh-5T0IV1_x4Utg0&dib_tag=se&keywords=ssd+1to&qid=1761955403&sr=8-6#customerReviews,https://m.media-amazon.com/images/I/51Yif3RXFVL._AC_SX679_.jpg,,amazon.fr
ssd 1to,"Intenso Top Performance 2.5"" 1000 Go Série ATA III MLC",,48.7,,,4.6,23,https://www.amazon.fr/Intenso-internes-SATA-Performance-520Mo/dp/B07V9L4YYT/ref=sr_1_7?dib=eyJ2IjoiMSJ9.-oGw8Cxk_iQIyzCr4BAZ0Vc2-sJ1Js6lof-SHgMBrwsmbZyq_o_Gsf8sIRKSjX3-48JSlnDkKCWimfuktfXcq3SEuwSa5N5N8jKqi-DoHXREwkiBDy6MS_lJXoRNtDoGF5spSsZR_vUHphFZAkeFzpj7pzOOdT8VVtwWlqSP_43lVAn_Sosc2gYz1CLXkXlbaDEc_8mxqNus-dN5_jo_b6DznWK_esFbzaFMANXPpCQXyiuFgEFVx32VPhWHmuuY5oU5kMryNeYCilX5tqHOhpW-xvWPIe-4VkEKggo9WmU.KsKDkFjNfQ0uLANdTJeDeSaUnpmnh-5T0IV1_x4Utg0&dib_tag=se&keywords=ssd+1to&qid=1761955403&sr=8-7#customerReviews,https://m.media-amazon.com/images/I/61ypbyZ+ftS._AC_SX679_.jpg,,amazon.fr
ssd 1to,"Crucial P310 SSD 1To PCIe Gen4 NVMe M.2 2280, jusqu’à 7.100 Mo/s, Compatible avec Ordinateur Portable et de Bureau & Consoles de jeux Portables, Disque Dur Interne - CT1000P310SSD801",,71.99,99.99,28.0,4.7,15,https://www.amazon.fr/Crucial-Interne-Compatible-Ordinateur-Portable/dp/B0DC8VPSHV/ref=sr_1_8?dib=eyJ2IjoiMSJ9.-oGw8Cxk_iQIyzCr4BAZ0Vc2-sJ1Js6lof-SHgMBrwsmbZyq_o_Gsf8sIRKSjX3-48JSlnDkKCWimfuktfXcq3SEuwSa5N5N8jKqi-DoHXREwkiBDy6MS_lJXoRNtDoGF5spSsZR_vUHphFZAkeFzpj7pzOOdT8VVtwWlqSP_43lVAn_Sosc2gYz1CLXkXlbaDEc_8mxqNus-dN5_jo_b6DznWK_esFbzaFMANXPpCQXyiuFgEFVx32VPhWHmuuY5oU5kMryNeYCilX5tqHOhpW-xvWPIe-4VkEKggo9WmU.KsKDkFjNfQ0uLANdTJeDeSaUnpmnh-5T0IV1_x4Utg0&dib_tag=se&keywords=ssd+1to&qid=1761955403&sr=8-8#customerReviews,https://m.media-amazon.com/images/I/51lrFzSnxhL._AC_SX679_.jpg,,amazon.fr
ssd 1to,"KingSpec 1To 2.5"" SATA SSD, 3D NAND Flash Disque Dur SSD Interne, Vitesse de Lecture jusqu'à 550 Mo/Sec - pour Ordinateur de Bureau/Portable/Tout-en-Un",,117.47,207.99,43.52,4.6,6,https://aax-eu-zaz.amazon.fr/x/c/JOimFhJ82pkB1v42JQvsSigAAAGaPLnXYQoAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDIgICD9y59P/clv1_CEuOPUxokZA0iHrVevd27HKBTVZgF51ok5g6zzKG8d5cx39a0njVNv018HHz9hvVjq0yzpNb3XHSfU13AmcAWWtSCAyXBMP2KmEyIENAT3DkDKVflEfB8IkGXCR1U-W6XJeXalC7rdIQEQQ8kV_3ZVhXLA8QC8x8H15tWbp4Xgyay_2WjkwrSxutOI2vKbYuDzUcfMyagcpNBHhtJZhsefQQh8yliMIIKin6O61_zAYOsoJhkeWuV2gvjBmW5lJBN2PMN-SRnR9AjX0lL9xFahCwdXiTzSjwM7uey7a2a7UQIGW11aK1xkuNcA7FBIOT3_cq0eVrbNPflr3aEsuKUftq2ORYQgQPr54938xbGrd59GJVEm2d1SWr3JYqfnqDdhxLjmOcuEwh_RP2JeusZmwAfITZhPBne-wSBml9tlZkUux_rAVrRF9I0bxcInISObmeO8f_tcTgQCUpbjG0mblLfGCrk02DWS1VeKFjkeeJTVJ00JKLqzr1WBB_Vra2u-9kyiAYPaIQny6yiAyTyRP9XSF2bHAHLDKKASD0N4bSSBGXHXdP6ltDO1Pabm2zduMOm_1lQm7IkLtq8cgmBRHLERNNnAx_w_Q_taGzlxownoSl_a4fSEj9yQOcbouUFmEZZ80_KkAfquNAEpR24QsY9aDSOy9ACXwIh7Z54rI3eH4JTjCpz38IkBj_R9Vw8wQR6wF19vc-_eYjFCm5FGAY9bH7aMjJ_PvwDG8mJT_xizHyV91RxWhV4-clUtKXrLhVHDfLlnCq6RXcbAbVCwg4gS2XGU5Vv8pDf9UJbCGs6FQGPfxCgRhDnLurTEWfTfWdaw4c_ibzqvJQUd9olouppkY_lP-HOueBoeK9t32K1ETI72M16CXVqHOTpB_WueoBldF_sDPxBfALUOQVBcuM1vfrpxlYDC0RCQDYjCnxnRVaEmwsXBYwaCbE9FWaiAuMS_3a74uNl-zn5jaJZ7ZdBNqZILH0qHugfA4hF-5oXDJRVUlQd-eO_z3gJE0jMwG2xZJ61FUMYLMA2-ST8yBOiwpWEuK0g1N245Z2lCJdSWa8fpuYHhX2YK9QMud4UUuqVJ_MIgxeEre-Z6WMmtL3UCbbxrd8asksBDVvN5e-DFKNGOdb_XdfDYuDpdiy4eISEN66pBMDANl0vlshYng-bODmAnf9KJg-jInlnYnO4jyjzinGx5QehExNf8ACK3KWL0v3-2ewUhZalGbtO_yC2el8vJ96yCKZhaJ0FzP8M3AzZ0CwxzWGtC8MHZ2gJZIek-ufVFLnVpJIfIUcrG0t1pxFj46X1RSjklS1HuvtcNxGZ-bg6vAMlwaG3bQSNrAPVg3__nPu0t8uaUgr3Z754PI6-VlfYcFfHsJWnK8OlmynIGu8uYexBHisbLw7F0Xia1eqcSCvQRAxdI-2Qa2epRqyb2Vz-60s6ePOq0lsfT1Z_qwTEtMCJBvTJQn57i8lP2_hjpKkmAb7MCz8bHnH1DKuSPU06J0M9OMf3UMetHX_MFGramAn7eI2h-LY32X6aRdLf-xsKJvdLd0ONRD8n-KXM2a-HWyJKJ4KlPe-9cSuvPy9U6N9OI9TrflAQ9rzGSPT-ajHYci2PUIrSTBK5r_pwrAY5Jn9qVbl_fKJbnDqGBSNvglTsQdEQouNVCryLVvN8ZBPV3aJiyZE7IcVdxXMcnYZBKFQpcpjW8H1KNIfpI7nQ0MuzfiooPOT9ul4T6mEgx4NuU6crpYnHhns6iRYsR7HoL1xDhyg-2WJpdL3xtM1bLsE_UDtBPwmi9Qf5yriraVdLv9QUIBl3HAFJcrb71j-S9eCHQT8oJS5BpG1wqg979IdT6WG6sN8kQIZX94dJaoficHxFFP9NZ28kb54WPCcaulpW0JEtkYyuuzkaJyOjSYMSPfb4-ket8bydylBu_qRiT90ahfDKeKunh5j_NpfU5HG6tNjnUYzbTRo4ZXaAKsL7CiUPiJ8qY7aWns4N8zvmpO5R9f_pIBrNa84kPsmwQ_JDnUBww9w59Y1OmxwnFtj4d-RvAx4HMw-CkoDB9VR-gEn16iT8sXkyfVqZd-lBKx1c5x4R7sahNlMKkYHe-s93QdoEJqH4nwccVZmT8_-PSWGGz_6ajJvGp6h1ZHVOuZNzFYIF775SJVYfwfqeLEojIRtgWidbH4dvB8uOWs3Ky2pOQvx5BizLbr-7Cs0l5C0IEA-YsRCBJXCGe_8OucHByYWFHkFjIWBFI7f5s7ttYJFZrt83-2F4OJGtj4vwM6kKHlo99MnU7QhVh_W8bLRQezFnJhKK3a4a62Js2jfnBuJ7uxvSHMafFyIstjyHVc/https://www.amazon.fr/KingSpec-1TB-2-5-SATA-Interne/dp/B0B2K51BHH/ref=sxin_17_sbv_search_btf?content-id=amzn1.sym.e465c033-1722-4c7f-83fa-b78395dac004%3Aamzn1.sym.e465c033-1722-4c7f-83fa-b78395dac004&cv_ct_cx=ssd+1to&keywords=ssd+1to&pd_rd_i=B0B2K51BHH&pd_rd_r=f29e2ada-3346-452b-a157-fd0815d84cb5&pd_rd_w=SwYKh&pd_rd_wg=Xkv6W&pf_rd_p=e465c033-1722-4c7f-83fa-b78395dac004&pf_rd_r=ZQENXXQZPN92YFJBGQ21&qid=1761955403&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-07652b71-81e3-41f8-9097-e46726928fb7#customerReviews,https://m.media-amazon.com/images/I/617eri7XTRL._AC_SX679_.jpg,,amazon.fr
ssd 1to,"SanDisk SSD Plus SSD 1 to, Disque SSD Interne, SATA III 2.5"", Vitesse de Lecture jusqu'à 535 MB/s, Mettez Votre Ordinateur à Niveau avec Un Disque SSD Rapide",,62.99,70.99,11.27,4.7,95,https://www.amazon.fr/SanDisk-Interne-Vitesse-Lecture-Ordinateur/dp/B0F4Y12GGN/ref=sr_1_9?dib=eyJ2IjoiMSJ9.-oGw8Cxk_iQIyzCr4BAZ0Vc2-sJ1Js6lof-SHgMBrwsmbZyq_o_Gsf8sIRKSjX3-48JSlnDkKCWimfuktfXcq3SEuwSa5N5N8jKqi-DoHXREwkiBDy6MS_lJXoRNtDoGF5spSsZR_vUHphFZAkeFzpj7pzOOdT8VVtwWlqSP_43lVAn_Sosc2gYz1CLXkXlbaDEc_8mxqNus-dN5_jo_b6DznWK_esFbzaFMANXPpCQXyiuFgEFVx32VPhWHmuuY5oU5kMryNeYCilX5tqHOhpW-xvWPIe-4VkEKggo9WmU.KsKDkFjNfQ0uLANdTJeDeSaUnpmnh-5T0IV1_x4Utg0&dib_tag=se&keywords=ssd+1to&qid=1761955403&sr=8-9#customerReviews,https://m.media-amazon.com/images/I/61RE7kJmMxL._AC_SX679_.jpg,,amazon.fr
ssd 1to,"WD Blue SA510 SSD 1 To, Disque SSD interne, Vitesee de lecture jusqu'à 560 Mo/s, 2.5"" SATA SSD, Comprend Acronis True Image pour WD, Clonage de disque et migration.",,64.89,74.99,13.47,4.4,12,https://www.amazon.fr/interne-Vitesee-lecture-Comprend-migration/dp/B09ZYQ84CM/ref=sr_1_10?dib=eyJ2IjoiMSJ9.-oGw8Cxk_iQIyzCr4BAZ0Vc2-sJ1Js6lof-SHgMBrwsmbZyq_o_Gsf8sIRKSjX3-48JSlnDkKCWimfuktfXcq3SEuwSa5N5N8jKqi-DoHXREwkiBDy6MS_lJXoRNtDoGF5spSsZR_vUHphFZAkeFzpj7pzOOdT8VVtwWlqSP_43lVAn_Sosc2gYz1CLXkXlbaDEc_8mxqNus-dN5_jo_b6DznWK_esFbzaFMANXPpCQXyiuFgEFVx32VPhWHmuuY5oU5kMryNeYCilX5tqHOhpW-xvWPIe-4VkEKggo9WmU.KsKDkFjNfQ0uLANdTJeDeSaUnpmnh-5T0IV1_x4Utg0&dib_tag=se&keywords=ssd+1to&qid=1761955403&sr=8-10#customerReviews,https://m.media-amazon.com/images/I/71DvBmAUduL._AC_SX679_.jpg,,amazon.fr
ssd 1to,"Lexar NM620 SSD 1To Interne, M.2 2280 PCIe Gen3x4 NVMe, Jusqu'à 3500 Mo/s en lecture, 3000 Mo/s en écriture, disque dur pour les Passionnés de PC et les Joueurs (LNM620X001T-RNNNG)",,64.22,181.99,64.71,4.6,3,https://www.amazon.fr/Interne-Lexar-Lecture-Passionn%C3%A9s-LNM620X001T-RNNNG/dp/B093CNPVX1/ref=sr_1_12?dib=eyJ2IjoiMSJ9.-oGw8Cxk_iQIyzCr4BAZ0Vc2-sJ1Js6lof-SHgMBrwsmbZyq_o_Gsf8sIRKSjX3-48JSlnDkKCWimfuktfXcq3SEuwSa5N5N8jKqi-DoHXREwkiBDy6MS_lJXoRNtDoGF5spSsZR_vUHphFZAkeFzpj7pzOOdT8VVtwWlqSP_43lVAn_Sosc2gYz1CLXkXlbaDEc_8mxqNus-dN5_jo_b6DznWK_esFbzaFMANXPpCQXyiuFgEFVx32VPhWHmuuY5oU5kMryNeYCilX5tqHOhpW-xvWPIe-4VkEKggo9WmU.KsKDkFjNfQ0uLANdTJeDeSaUnpmnh-5T0IV1_x4Utg0&dib_tag=se&keywords=ssd+1to&qid=1761955403&sr=8-12#customerReviews,https://m.media-amazon.com/images/I/617O6QE6K2L._AC_SX679_.jpg,,amazon.fr
ssd 1to,"WD Blue SN5100 SSD 1 to (7 100 MB/s en Lecture, Disque SSD NVMe, M.2 2280, PCIe Gen 4.0, nCache 4.0, Technologie Sandisk 3D CBA NAND, Acronis True Image)",,69.99,74.99,6.67,4.4,31,https://www.amazon.fr/SN5100-Lecture-Technologie-Sandisk-Acronis/dp/B0FJ8QFWBQ/ref=sr_1_11?dib=eyJ2IjoiMSJ9.-oGw8Cxk_iQIyzCr4BAZ0Vc2-sJ1Js6lof-SHgMBrwsmbZyq_o_Gsf8sIRKSjX3-48JSlnDkKCWimfuktfXcq3SEuwSa5N5N8jKqi-DoHXREwkiBDy6MS_lJXoRNtDoGF5spSsZR_vUHphFZAkeFzpj7pzOOdT8VVtwWlqSP_43lVAn_Sosc2gYz1CLXkXlbaDEc_8mxqNus-dN5_jo_b6DznWK_esFbzaFMANXPpCQXyiuFgEFVx32VPhWHmuuY5oU5kMryNeYCilX5tqHOhpW-xvWPIe-4VkEKggo9WmU.KsKDkFjNfQ0uLANdTJeDeSaUnpmnh-5T0IV1_x4Utg0&dib_tag=se&keywords=ssd+1to&qid=1761955403&sr=8-11#customerReviews,https://m.media-amazon.com/images/I/61cG-+qxhxL._AC_SX679_.jpg,,amazon.fr
ssd 1to,"Crucial P310 SSD 500Go PCIe Gen4 NVMe M.2 2280, jusqu’à 6.600 Mo/s, Compatible avec Ordinateur Portable et de Bureau & Consoles de jeux Portables, Disque Dur Interne - CT500P310SSD801",,49.99,,,4.7,15,https://www.amazon.fr/Crucial-Interne-Compatible-Ordinateur-Portable/dp/B0DC8K6KQD/ref=sr_1_13?dib=eyJ2IjoiMSJ9.-oGw8Cxk_iQIyzCr4BAZ0Vc2-sJ1Js6lof-SHgMBrwsmbZyq_o_Gsf8sIRKSjX3-5hOaoEutsM250gg33Iff9_icyrvQHdlNjkbL-jW7YmUagN3IdJyzqUJabS3QF8wKR9l9J1232bsRlCT_FGmkJSMMR1JQwPE7a8jEfKSKOSTJDZtE5dTGUjmRNm4inKJUyaCd6-ZhaYm7Sfg1sO3YMh0EuvBVdoutfhnYLztoDhnWtOXV1wyNPdnWJ5R07HhjKno5sL5vy3XngZ1ItqoQ0i2CCUSI8agWkhCG9iJn2QA.vVOapgQG_XJh_TF54B8GzxoG7vqxL3hu2h2GWwjfVaI&dib_tag=se&keywords=ssd+1to&qid=1761954944&sr=8-13#customerReviews,https://m.media-amazon.com/images/I/51lrFzSnxhL._AC_SX679_.jpg,,amazon.fr
ssd 1to,"Kingston A400 SSD SSD Interne 2.5"" SATA Rev 3.0, 960GB - SA400S37/960G",,61.6,179.99,65.78,4.7,228,https://www.amazon.fr/Kingston-SSD-A400-960GB-Disque-SATA/dp/B079XC5PVV/ref=sr_1_14_so_COMPUTER_DRIVE_OR_STORAGE?dib=eyJ2IjoiMSJ9.-oGw8Cxk_iQIyzCr4BAZ0Vc2-sJ1Js6lof-SHgMBrwsmbZyq_o_Gsf8sIRKSjX3-5hOaoEutsM250gg33Iff9_icyrvQHdlNjkbL-jW7YmUagN3IdJyzqUJabS3QF8wKR9l9J1232bsRlCT_FGmkJSMMR1JQwPE7a8jEfKSKOSTJDZtE5dTGUjmRNm4inKJUyaCd6-ZhaYm7Sfg1sO3YMh0EuvBVdoutfhnYLztoDhnWtOXV1wyNPdnWJ5R07HhjKno5sL5vy3XngZ1ItqoQ0i2CCUSI8agWkhCG9iJn2QA.vVOapgQG_XJh_TF54B8GzxoG7vqxL3hu2h2GWwjfVaI&dib_tag=se&keywords=ssd+1to&qid=1761954944&sr=8-14,https://m.media-amazon.com/images/I/81+9rUcRVTL._AC_SX679_.jpg,,amazon.fr
ssd 1to,"PNY CS900 SSD Interne SATA III, 2.5 Pouces, 1To, Vitesse de Lecture jusqu'à 535MB/s",,54.99,,,4.6,28,https://www.amazon.fr/PNY-CS900-Disque-Interne-SATA/dp/B07Y5VDNT9/ref=sr_1_15?dib=eyJ2IjoiMSJ9.-oGw8Cxk_iQIyzCr4BAZ0Vc2-sJ1Js6lof-SHgMBrwsmbZyq_o_Gsf8sIRKSjX3-5hOaoEutsM250gg33Iff9_icyrvQHdlNjkbL-jW7YmUagN3IdJyzqUJabS3QF8wKR9l9J1232bsRlCT_FGmkJSMMR1JQwPE7a8jEfKSKOSTJDZtE5dTGUjmRNm4inKJUyaCd6-ZhaYm7Sfg1sO3YMh0EuvBVdoutfhnYLztoDhnWtOXV1wyNPdnWJ5R07HhjKno5sL5vy3XngZ1ItqoQ0i2CCUSI8agWkhCG9iJn2QA.vVOapgQG_XJh_TF54B8GzxoG7vqxL3hu2h2GWwjfVaI&dib_tag=se&keywords=ssd+1to&qid=1761954944&sr=8-15#customerReviews,https://m.media-amazon.com/images/I/61cyHqB+KmL._AC_SX679_.jpg,,amazon.fr
ssd 1to,"MSI SPATIUM S270 SATA 2.5"" 960GB - Disque SSD Interne 960 Go, SATA III 6 GB/s, 2,5"", Lecture 500 MB/s & Écriture 450 MB/s, 3D NAND, Sécurité des Données Intégrée, Center, 500 TBW, Garantie 5 Ans",,65.65,,,4.7,627,https://www.amazon.fr/MSI-SPATIUM-S270-SATA-960GB/dp/B0BKPJS9NC/ref=sr_1_13?dib=eyJ2IjoiMSJ9.-oGw8Cxk_iQIyzCr4BAZ0Vc2-sJ1Js6lof-SHgMBrwsmbZyq_o_Gsf8sIRKSjX3-48JSlnDkKCWimfuktfXcq3SEuwSa5N5N8jKqi-DoHXREwkiBDy6MS_lJXoRNtDoGF5spSsZR_vUHphFZAkeFzpj7pzOOdT8VVtwWlqSP_43lVAn_Sosc2gYz1CLXkXlbaDEc_8mxqNus-dN5_jo_b6DznWK_esFbzaFMANXPpCQXyiuFgEFVx32VPhWHmuuY5oU5kMryNeYCilX5tqHOhpW-xvWPIe-4VkEKggo9WmU.KsKDkFjNfQ0uLANdTJeDeSaUnpmnh-5T0IV1_x4Utg0&dib_tag=se&keywords=ssd+1to&qid=1761955403&sr=8-13,https://m.media-amazon.com/images/I/71QAYD5FlgL._AC_SX679_.jpg,,amazon.fr
